run_id,timestamp,model_type,alpha,features,n_features,n_train,n_test,events_train,events_test,c_index_train,c_index_test,notes
20260915_113505_e148c3,2026-09-15T11:35:05,CoxPHSurvivalAnalysis,1.0,"age_at_discharge,length_of_stay_days,medication_count,prior_admissions_90d,med_flag_diuretic,med_flag_anticoagulant",6,1967,678,40,12,0.7757,0.6844,"baseline, 6 features"
20260915_113630_022571,2026-09-15T11:36:30,CoxPHSurvivalAnalysis,2.0,"age_at_discharge,length_of_stay_days,medication_count,prior_admissions_90d,med_flag_diuretic,med_flag_anticoagulant",6,1967,678,40,12,0.7756,0.6828,higher regularization
20260915_113839_2494e5,2026-09-15T11:38:39,CoxPHSurvivalAnalysis,1.0,"age_at_discharge,length_of_stay_days,medication_count,prior_admissions_90d,med_flag_diuretic,med_flag_anticoagulant,comorbidity_count",7,1967,678,40,12,0.7949,0.7326,with comorbidity_count
20260915_113931_cdd23e,2026-09-15T11:39:31,CoxPHSurvivalAnalysis,1.0,"age_at_discharge,length_of_stay_days,medication_count,prior_admissions_90d,med_flag_diuretic,med_flag_anticoagulant",6,1967,678,40,12,0.7757,0.6844,"official baseline v1 — matches cox_baseline_v1.joblib, chosen via cross-validated comparison over comorbidity_count/insulin/opioid variants"
